Name,Role,movie_ID
Ben Hardy,Actor,BNIO
Ben Johnson,Actor,IWPO
Ben Kingsley,Actor,"UYGA, MPEU, HBVJ, OTAR"
Ben Stiller,Actor,HLZX
Ben Whishaw,Actor,INAY
Benedict Cumberbatch,Actor,"ZNVM, QCCI"
Bengt Ekerot,Actor,CZTE
Benicio Del Toro,Actor,"OKSB, LGSL, OUKR, DLKM"
Benjamin Bratt,Actor,"VFVB, HMWM"
Bennett Miller,Director,IFIA
Benno Fürmann,Actor,SZHQ
Benoît Régent,Actor,VPSQ
Bernard-Pierre Donnadieu,Actor,NTZS
Bernardo Bertolucci,Director,"QSBQ, FJZZ"
Bernhard Wicki,Actor,KIIL
Bertil Guve,Actor,POJU
Bette Davis,Actor,"THYG, JLVX"
Beverly D'Angelo,Actor,SBLG
Bibi Andersson,Actor,"KKFN, EXNJ"
Biff McGuire,Actor,KYCA
Bill Bernstein,Actor,OJCX
Bill Hader,Actor,OFPU
Bill McKinney,Actor,"GMCP, EHDG"
Bill Murray,Actor,"KYJK, WWHT, SYKG, YDQA, YJHP, TEBU"
Bill Nighy,Actor,"GNVM, NDVV, NVVN, GDZW"
Bill Nunn,Actor,RSNW
Bill Paxton,Actor,"HFUD, JGAE, DFYP"
Bill Pullman,Actor,"YFSH, PTNU"
Bill Sage,Actor,UNTN
Billy Bob Thornton,Actor,IRMA
Billy Bob Thornton,Director,IRMA
Billy Connolly,Actor,RHVL
Billy Crudup,Actor,"AHGV, NCYC, LGJM"
Billy Crystal,Actor,"WRPJ, WFJZ"
Billy Dee Williams,Actor,"LELW, JURZ"
Billy Wilder,Director,"BTBX, VIVX, SFXB, OCHN, XIYJ, SGNK, ECCA, ZKVS, MWPM"
Billy Zane,Actor,BWAZ
Birgitta Pettersson,Actor,VNTR
Birgitta Valberg,Actor,VNTR
Birol Ünel,Actor,ARHX
Björk,Actor,TILS
Blake Edwards,Director,JBWN
Bo Hopkins,Actor,RGBK
Boaz Yakin,Director,QAGH
Bob Balaban,Actor,RGNH
Bob Clark,Director,QBIQ
Bob Fosse,Director,"RAQD, YQOQ"
Bob Gale,Director,NHCM
Bob Geldof,Actor,XZNR
Bob Gunton,Actor,YMFX
Bob Hoskins,Actor,MQOM
Bob Odenkirk,Actor,BAMY
Bob Persichetti,Director,SFMI
Bob Peterson,Actor,DUQH
Bobby Cannavale,Actor,UUWQ
Bodil Rosing,Actor,QMUF
Boluwatife Treasure Bankole,Actor,GVUE
Boman Irani,Actor,"TSLS, OISJ"
Bong Joon Ho,Director,"RJWL, WZKC, YWGV"
Bonnie Bedelia,Actor,DILT
Bonnie Hunt,Actor,LROL
Bora Todorovic,Actor,GEKR
Boris Karloff,Actor,"IMXI, RYGJ"
Boyd Holbrook,Actor,KFPB
Boyd Kirkland,Actor,DQVM
Brad Anderson,Director,DGHA
Brad Bird,Director,"JYKC, ZQTF, DQNF, USDZ"
